title,description,start_datetime,end_datetime,venue_name,venue_suburb,category,vibe,price_range,image_url,source_url,is_featured,is_curated_pick
CIBSE YEN VIC | Mitsubishi Electric x CIBSE Panel & Connect,Join us for some networking and learn from representatives from Mitsubishi Electric and the CIBSE YEN VIC committee.,2026-05-27 18:00:00,2026-05-27 20:00:00,Mott MacDonald,Docklands,Business & Professional,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183188444%2F1828902352203%2F1%2Foriginal.20260428-031246?auto=format%2Ccompress&q=75&sharp=10&s=2ace9994cdab8500dc502daba39f0d16,https://www.eventbrite.co.uk/e/cibse-yen-vic-mitsubishi-electric-x-cibse-panel-connect-tickets-1987185522391,false,false
Autumn Fayre - Sunday 24 May- Brunswick Town Hall,300+ Already Registered | Free Wellness & Holistic Fayre – Brunswick Town Hall,2026-05-24 10:00:00,2026-05-24 16:00:00,Brunswick Town Hall,Brunswick,Health & Wellness,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182293790%2F65434941567%2F1%2Foriginal.20260416-033741?auto=format%2Ccompress&q=75&sharp=10&s=273ba10b258ae0ff7ac7880e259ac7f9,https://www.eventbrite.com.au/e/autumn-fayre-sunday-24-may-brunswick-town-hall-tickets-1986282973844,false,false
Very Hungry Caterpillar Storytime Party  at Keilor Library (2-5 yrs),Wiggle & giggle with our special storytime session at Keilor Library. Audience: Children 2-5yrs,2026-06-17 11:30:00,2026-06-17 12:30:00,Brimbank Libraries: Keilor Library,Keilor,Family & Education,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176638633%2F1201188157023%2F1%2Foriginal.20260204-032830?auto=format%2Ccompress&q=75&sharp=10&s=0b42fc2a82b1e9b5240480cac3e70263,https://www.eventbrite.com.au/e/very-hungry-caterpillar-storytime-party-at-keilor-library-2-5-yrs-tickets-1982328719563,false,false
Mina Nader Live - Comedy for Compassion Melbourne,Laugh loud. Give back ❤️ Mina Nader LIVE at Comedy for Compassion. Supporting children in need with Shepherd of Egypt. Get tickets now!,2026-06-21 13:00:00,2026-06-21 16:00:00,Melbourne Town Hall,Melbourne,Charity & Causes,high-energy,68.96 AUD - 114.79 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184572424%2F398799772053%2F1%2Foriginal.20260514-065331?auto=format%2Ccompress&q=75&sharp=10&s=89ce23b8159e4307f7aa8d39c7ef0b0d,https://www.eventbrite.com.au/e/mina-nader-live-comedy-for-compassion-melbourne-tickets-1988738507411,false,false
Very Hungry Caterpillar Storytime Party  at St Albans Library (2-5 yrs),Wiggle & giggle with our special storytime session at St Albans Library. Audience: Children 2-5yrs,2026-06-10 11:30:00,2026-06-10 12:30:00,Brimbank Libraries: St Albans Library,Saint Albans,Family & Education,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176638633%2F1201188157023%2F1%2Foriginal.20260204-032830?auto=format%2Ccompress&q=75&sharp=10&s=0b42fc2a82b1e9b5240480cac3e70263,https://www.eventbrite.com.au/e/very-hungry-caterpillar-storytime-party-at-st-albans-library-2-5-yrs-tickets-1982328920163,false,false
Local Artists Recital,MHCMS showcases Melbourne's leading artists in Hindustani Classical,2026-05-24 14:30:00,2026-05-24 17:30:00,Kew Court House,Kew,Performing & Visual Arts,low-key,30.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184233959%2F2524253317611%2F1%2Foriginal.20260510-132144?auto=format%2Ccompress&q=75&sharp=10&s=f172592882add03190a8beefa50670a9,https://www.eventbrite.com.au/e/local-artists-recital-tickets-1989171637916,false,false
MDW | Hands on with Bioplastics,"Get ready to get your hands on some Bioplastics! We'll share some of our learnings, our mission and why our products are made with seaweed!",2026-05-24 11:00:00,2026-05-24 13:00:00,MPavilion,Melbourne,Science & Technology,,0.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181876455%2F2993806625592%2F1%2Foriginal.20260410-152237?auto=format%2Ccompress&q=75&sharp=10&s=4ae6373a995bedcb95bb67aafd2007c8,https://www.eventbrite.com/e/mdw-hands-on-with-bioplastics-tickets-1984239480701,false,false
"Electrify Your Life – Planning your comfortable, efficient home","Looking to improve comfort and efficiency at home, but don't know where to start? Join us to learn how to plan and prioritise your upgrades.",2026-05-27 18:30:00,2026-05-27 20:30:00,Manningham Function Centre - Heide Room,Doncaster,Science & Technology,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1114979873%2F2024267300503%2F1%2Foriginal.20250905-022227?auto=format%2Ccompress&q=75&sharp=10&s=fdd1fa8d516f370dcd92e64173b97b90,https://www.eventbrite.com.au/e/electrify-your-life-planning-your-comfortable-efficient-home-tickets-1986389030061,false,false
EVOLVE: Hair & Culture Runway,"EVOLVE: Hair & Culture is a runway experience celebrating textured hair artistry, presented by Ziora in partnership with L'Oreal and guests",2026-05-23 19:00:00,2026-05-23 23:00:00,Monphell House,Brunswick East,Fashion & Beauty,groups,73.00 AUD - 110.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180637282%2F2680833922731%2F1%2Foriginal.20260325-072832?auto=format%2Ccompress&q=75&sharp=10&s=3c0fcfd5e4ef597b7746f34e26cac063,https://www.eventbrite.com/e/evolve-hair-culture-runway-tickets-1984363321111,false,false
Relational Formulation: Understanding Complexity in YMH,"This workshop introduces a relational model to help teams reflect, formulate, and respond, promoting collaborative & constructive care.",2026-06-24 09:30:00,2026-06-25 16:30:00,PYMHWS - Colonial  Foundation Innovation Centre,Parkville,Health & Wellness,low-key,160.00 AUD - 540.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172109300%2F223921285124%2F1%2Foriginal.20251202-002556?auto=format%2Ccompress&q=75&sharp=10&s=6af949439a88954ef85b1eee91b15829,https://www.eventbrite.com.au/e/relational-formulation-understanding-complexity-in-ymh-tickets-1977561227867,false,false
Autumn Jazz Experience | Melbourne,"An intimate night of live jazz, poetry, karaoke & culture. Featuring Melbourne artists. Warm vibes, limited tickets",2026-05-22 17:00:00,2026-05-22 21:00:00,46 Trafford St,Brunswick,Music,high-energy,27.34 AUD - 43.15 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184500989%2F666486100903%2F1%2Foriginal.20260513-140654?auto=format%2Ccompress&q=75&sharp=10&s=d1f07471dbb8301afddc4a9c44c1ca53,https://www.eventbrite.com.au/e/autumn-jazz-experience-melbourne-tickets-1988285332954,false,false
Allen & Heath: Mixwizard Night with Avantis Ultra + SQ,"We’re wrapping things up at South Melbourne with one final, hands-on Mixwizard session before we move.",2026-05-25 18:30:00,2026-05-25 21:00:00,Factory Sound,South Melbourne,Music,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183192001%2F2991182290948%2F1%2Foriginal.20260428-043405?auto=format%2Ccompress&q=75&sharp=10&s=775faf52f9cb4a5a9458b4aacb54a332,https://www.eventbrite.com.au/e/allen-heath-mixwizard-night-with-avantis-ultra-sq-tickets-1988050970971,false,false
